,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
79,Titane,2021,108 min,6.8,"Drama, Horror, Sci-Fi","12,368","Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.","['Julia Ducournau', 'Vincent Lindon', 'Agathe Rousselle', 'Garance Marillier', 'Laïs Salameh']",Vincent Lindon
80,The Haunting of Hill House,2018,572 min,8.6,"Drama, Horror, Mystery","209,715","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","['Michiel Huisman', 'Carla Gugino', 'Henry Thomas', 'Elizabeth Reaser']",Carla Gugino
81,Supernatural,2005–2020,44 min,8.4,"Drama, Fantasy, Horror","412,618","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']",Jensen Ackles
82,The Long Call,2021–,Not given,6.4,"Crime, Drama",728,Follows detective Matthew Venn as he returns to an evangelical community in which he grew up to attend his father's funeral.,"['Ben Aldridge', 'Declan Bennett', 'Siobhán Cullen', 'Pearl Mackie']",Declan Bennett
83,Criminal Minds,2005–2020,42 min,8.1,"Crime, Drama, Mystery","178,962","The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.","['Matthew Gray Gubler', 'Kirsten Vangsness', 'A.J. Cook', 'Joe Mantegna']",Kirsten Vangsness
84,The Black Phone,2021,102 min,8.2,Horror,306,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.","['Scott Derrickson', 'Ethan Hawke', 'James Ransone', 'Jeremy Davies', 'Madeleine McGraw']",Ethan Hawke
85,The Boys,2019–,60 min,8.7,"Action, Crime, Drama","319,554",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty']",Jack Quaid
86,Blade Runner 2049,2017,164 min,8.0,"Action, Drama, Mystery","508,502","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","['Denis Villeneuve', 'Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']",Harrison Ford
87,Doom Patrol,2019–,60 min,7.9,"Action, Adventure, Comedy","44,773",The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,"['April Bowlby', 'Diane Guerrero', 'Joivan Wade', 'Matt Bomer']",Diane Guerrero
88,The Good Doctor,2017–,41 min,8.1,Drama,"79,909","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","['Freddie Highmore', 'Hill Harper', 'Richard Schiff', 'Antonia Thomas']",Hill Harper
89,La Brea,2021–,Not given,5.4,"Drama, Mystery, Sci-Fi","4,469","A massive sinkhole mysteriously opens up in Los Angeles, separating part of a family in an unexplainable primeval world, alongside a desperate group of strangers.","['Natalie Zea', 'Eoin Macken', 'Chiké Okonkwo', 'Karina Logue']",Eoin Macken
90,Vikings,2013–2020,44 min,8.5,"Action, Adventure, Drama","474,891","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",Gustaf Skarsgård
91,A Nightmare on Elm Street,1984,91 min,7.5,Horror,"222,038",The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,"['Wes Craven', 'Heather Langenkamp', 'Johnny Depp', 'Robert Englund', 'John Saxon']",Heather Langenkamp
92,Dynasty,2017–,42 min,7.3,Drama,"18,235",Follows two of America's wealthiest families as they feud for control over their fortune and their children.,"['Elizabeth Gillies', 'Rafael de la Fuente', 'Robert Christopher Riley', 'Sam Adegoke']",Rafael de la Fuente
93,The Outlaws,2021–,Not given,7.5,"Comedy, Crime, Drama",662,Seven strangers from different walks of life forced together to complete a community payback sentence in Bristol.,"['Rhianne Barreto', 'Darren Boyd', 'Gamba Cole', 'Clare Perkins']",Darren Boyd
94,Riverdale,2017–,45 min,6.7,"Crime, Drama, Mystery","131,642","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","['K.J. Apa', 'Lili Reinhart', 'Camila Mendes', 'Cole Sprouse']",Lili Reinhart
95,Ron's Gone Wrong,2021,106 min,7.2,"Animation, Adventure, Comedy","2,425","The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship.","['Sarah Smith', 'Jean-Philippe Vine', 'Octavio E. Rodriguez', 'Jack Dylan Grazer', 'Zach Galifianakis', 'Ed Helms', 'Olivia Colman']",Jean-Philippe Vine
96,The Nightmare Before Christmas,1993,76 min,8.0,"Animation, Family, Fantasy","314,843","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","['Henry Selick', 'Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey']",Danny Elfman
97,Ghosts,2021–,Not given,7.2,"Comedy, Fantasy","2,728","A young couple, whose dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents.","['Utkarsh Ambudkar', 'Rose McIver', 'Brandon Scott Jones', 'Richie Moriarty']",Rose McIver
98,Cruella,2021,134 min,7.4,"Adventure, Comedy, Crime","181,254",A live-action prequel feature film following a young Cruella de Vil.,"['Craig Gillespie', 'Emma Stone', 'Emma Thompson', 'Joel Fry', 'Paul Walter Hauser']",Emma Stone
99,Fear the Walking Dead,2015–,44 min,6.9,"Drama, Horror, Sci-Fi","121,256","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.","['Kim Dickens', 'Frank Dillane', 'Cliff Curtis', 'Rubén Blades']",Frank Dillane
